Movies,Director,Actors,Year
"Danny Denzongpa, Geetanjali Thapa, Tisca Chopra, Adil Hussain",Fox Star Studios,[65],2018
Veere Di Wedding,Shashanka Ghosh,"Kareena Kapoor, Sonam Kapoor, Swara Bhaskar, Shikha Talsania, Sumeet Vyas",2018
Bhavesh Joshi Superhero,Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Nishikant Kamat",2018
Phamous,Karan Lalit Butani,"Jackie Shroff, Jimmy Sheirgill, Kay Kay Menon, Shriya Saran, Mahie Gill, Pankaj Tripathi",2018
Lust Stories,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Radhika Apte, Sanjay Kapoor, Kiara Advani, Vicky Kaushal, Neha Dhupia, Neil Bhoopalam, Bhumi Pednekar, Manisha Koirala, Akash Thosar",2018
Hanuman vs Mahiravana,Ezhil Vendan,,2018
Soorma,Shaad Ali,"Diljit Dosanjh, Taapsee Pannu, Angad Bedi",2018
When Obama Loved Osama,Sudhish Kumar Sharma,"Mousam Sharma, Swati Bakshi, Rahul Avana, Mohit Baghel, Heena Panchal, Hemant Pandey, Vikas Giri Manoj Bakshi, Himani Shivpuri,",2018
Dhadak,Shashank Khaitan,"Ishaan Khatter, Jhanvi Kapoor",2018
"Saheb, Biwi Aur Gangster 3",Tigmanshu Dhulia,"Sanjay Dutt, Jimmy Sheirgill, Mahi Gill, Chitrangada Singh, Soha Ali Khan",2018
Nawabzaade,Jayesh Pradhan,"Raghav Juyal, Punit Pathak, Dharmesh Yelande, Isha Rikhi",2018
Fanney Khan,Atul Manjrekar,"Anil Kapoor, Aishwarya Rai Bachchan, Rajkummar Rao, Karan Singh Chhabra, Divya Dutta",2018
Mulk,Anubhav Sinha,"Rishi Kapoor, Prateik Babbar, Rajat Kapoor, Taapsee Pannu, Ashutosh Rana, Manoj Pahwa, Neena Gupta",2018
Brij Mohan Amar Rahe!,Nikhil Bhatt,"Arjun Mathur, Nidhi Singh, Vijayant Kohli, Sunny Hinduja",2018
Laxmi and Tikli Bomb,Aditya Kripalani,"Vibhawari Deshpande, Suchitra Pillai, Chitraganda Chakraborty, Upendra Limaye",2018
Karwaan,Akarsh Khurana,"Irrfan Khan, Dulquer Salman, Mithila Palkar, Kriti Kharbanda",2018
Gold,Reema Kagti,"Akshay Kumar, Kunal Kapoor, Mouni Roy, Amit Sadh",2018
Satyameva Jayate,Milap Zaveri,"John Abraham, Manoj Bajpayee, Aisha Sharma, Amruta Khanvilkar",2018
Genius,Anil Sharma,"Utkarsh Sharma, Ishita Chauhan, Nawazuddin Siddiqui, Ayesha Jhulka",2018
Happy Phirr Bhag Jayegi,Mudassar Aziz,"Sonakshi Sinha, Diana Penty, Ali Fazal, Jimmy Shergill, Jassi Gill",2018
Toba Tek Singh,Ketan Mehta,"Pankaj Kapur, Vinay Pathak",2018
Yamla Pagla Deewana: Phir Se,Navaniat Singh,"Dharmendra, Sunny Deol, Bobby Deol, Kriti Kharbanda",2018
Stree,Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Aparshakti Khurana, Pankaj Tripathi",2018
Once Again,Kanwal Sethi,"Shefali Shah, Neeraj Kabi",2018
Paltan,J. P. Dutta,"Jackie Shroff, Sonu Sood, Arjun Rampal, Gurmeet Choudhary, Siddhanth Kapoor, Harshvardhan Rane, Luv Sinha, Esha Gupta, Monica Gill, Sonal Chauhan, Dipika Kakar, Aditii Arya Sharma",2018
Laila Majnu,Sajid Ali,"Mir Sarwar, Avinash Tiwary, Tripti Dimri, Ruchika Kapoor",2018
Gali Guleiyan,Dipesh Jain,"Manoj Bajpayee, Ranvir Shorey, Neeraj Kabi, Shahana Goswami",2018
Halkaa,Nila Madhab Panda,"Ranvir Shorey, Paoli Dam, Tathastu, Kumud Mishra",2018
Manmarziyaan,Anurag Kashyap,"Abhishek Bachchan, Vicky Kaushal, Taapsee Pannu",2018
Love Sonia,Tabrez Noorani,"Mrunal Thakur, Freida Pinto, Manoj Bajpayee, Rajkummar Rao, Richa Chadda, Anupam Kher, Adil Hussain, Sai Tamhankar",2018
Mitron,Nitin Kakar,"Jackky Bhagnani, Kritika Kamra, Pratik Gandhi, Neeraj Sood",2018
Batti Gul Meter Chalu,Shree Narayan Singh,"Shahid Kapoor, Shraddha Kapoor, Divyendu Sharma, Yami Gautam",2018
Manto,Nandita Das,"Nawazuddin Siddiqui, Tahir Raj Bhasin, Rasika Dugal, Rajshri Deshpande",2018
Ishqeria,Prerna Wadhawan,"Neil Nitin Mukesh, Richa Chaddha",2018
Sui Dhaaga,Sharat Katariya,"Varun Dhawan, Anushka Sharma",2018
Pataakha,Vishal Bhardwaj,"Sanya Malhotra, Sunil Grover, Radhika Madan",2018
Loveyatri,Abhiraj Minawala,"Aayush Sharma, Warina Hussain",2018
Jalebi,Pushpdeep Bhardwaj,"Rhea Chakraborty, Digangana Suryavanshi, Varun Mitra",2018
Helicopter Eela,Pradeep Sarkar,"Kajol, Riddhi Sen, Neha Dhupia, Tota Roy Choudhury",2018
FryDay,Abhishek Dogra,"Govinda, Varun Sharma",2018
Tumbbad,Rahi Anil Barve,"Soham ShahHarish Khanna, Anita Date",2018
Namaste England,Vipul Shah,"Arjun Kapoor, Parineeti Chopra, Aditya Seal, Alankrita Sahai, Anil Mange, Satish Kaushik",2018
Baazaar,Gauravv K. Chawla,"Saif Ali Khan, Radhika Apte, Chitrangada Singh, Denzil Smith, Rohan Mehra, Sonia Balani",2018
5 Weddings,Namrata Singh Gujral,"Rajkummar Rao, Nargis Fakhri, Bo Derek, Candy Clark, Anneliese van der Pol, Suvinder Vicky",2018
Kaashi in Search of Ganga,Dhiraj Kumar,"Sharman Joshi, Aishwarya Devan, Govind Namdev, Manoj Joshi, Manoj Pahwa, Akhilendra Mishra",2018
Dassehra,Manish Vatsalya,"Neil Nitin Mukesh, Tina Desai, Govind Namdev",2018
Mohalla Assi,Chandraprakash Dwivedi,"Sunny Deol, Sakshi Tanwar, Ravi Kishan, Saurabh Shukla, Mukesh Tiwari, Rajendra Gupta, Mithilesh Chaturvedi",2018
Pihu,Vinod Kapri,"Myra Vishwakarma, Prerna Sharma",2018
Hotel Milan,Vishal Mishra,"Kunaal Roy Kapur, Karishma Sharma, Zeishan Quadri, Jaideep Ahlawat, Rajesh Sharma, Zakir Hussain",2018
Tigers,Danis Tanović,"Emraan Hashmi, Khalid Abdalla, Geetanjali Thapa, Supriya Pathak",2018
Bhaiaji Superhit,Neerraj Pathak,"Sunny Deol, Preity Zinta, Ameesha Patel, Arshad Warsi, Shreyas Talpade, Evelyn Sharma",2018
2,S Shankar,"Rajnikanth, Amy Jackson, Akshay Kumar, Adil Hussain, Sudhanshu Pandey",2018
Rajma Chawal,Leena Yadav,"Rishi Kapoor, Anirudh Tanwar, Amyra Dastur",2018
Kedarnath,Abhishek Kapoor,"Sushant Singh Rajput, Sara Ali Khan",2018
Ascharyachakit!,Samit Kakkad,"Priyanka Bose, Vaibhav Raj Gupta, Ankit Raaj, Anangsha Biswas, Santosh Juvekar",2018
Zero,Aanand L. Rai,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Abhay Deol, Tigmanshu Dhulia",2018
War,,,2019
Saaho,,,2019
Kabir Singh,,,2019
Uri: The Surgical Strike,,,2019
Bharat,,,2019
Good Newwz,,,2019
Housefull 4,,,2019
Mission Mangal,,,2019
Gully Boy,,,2019
Dabangg 3,,,2019
Salt Bridge,Abhijit Deonath,Rajeev KhandelwalChelsie Preston CrayfordUsha Jadhav,2019
Cabaret,Kaustav Narayan Niyogi,Richa ChaddaGulshan DevaiahS. Sreesanth,2019
Battalion 609,Brijesh Batuknath Tripathi,Shoaib IbrahimElena KazanFarnaz ShettyVishwas KiniVicky AhujaVikas SrivastavaChandraprakash Thakur,2019
The Accidental Prime Minister,Vijay Ratnakar Gutte,Anupam KherAkshaye KhannaSuzanne BernertAahana KumraArjun Mathur,2019
Evening Shadows,Sridhar Rangayan,Mona AmbegaonkarAnanth Narayan MahadevanDevansh DoshiArpit Chaudhary,2019
Why Cheat India,Soumik Sen,Emraan HashmiShreya Dhanwanthary,2019
SP Chauhan,Manoj K Jha,Jimmy ShergillYuvika ChaudharyYashpal Sharma,2019
Fraud Saiyaan,Sourabh Shrivastava,Arshad WarsiSara LorenSaurabh Shukla,2019
Soni,Ivan Ayr,Geetika Vidhya OlyanSaloni Batra,2019
72 Hours: Martyr Who Never Died,Avinash Dhyani,Avinash DhyaniMukesh TiwariVirendra SaxenaAlka Amin Shishir SharmaGireesh SahdevPrashil Rawat,2019
Bombairiya,Pia Sukanya,Radhika ApteSiddhanth KapoorAkshay OberoiShilpa ShuklaAdil HussainAmit SialRavi Kishan,2019
Rangeela Raja,Sikander Bharti,GovindaShakti KapoorPrem ChopraGovind NamdevShyamlal YadavMishika ChourasiaAnupama AgnihotriDigangana SuryavanshiKarishma HarshadaArti Gupta,2019
Thackeray,Abhijit Panse,Nawazuddin SiddiquiAmrita Rao,2019
Manikarnika: The Queen of Jhansi,Radha Krishna JagarlamudiKangana Ranaut,Kangana RanautJisshu SenguptaSuresh OberoiAnkita LokhandeDanny DenzongappaAtul KulkarniMohammed Zeeshan Ayyub,2019
Ek Ladki Ko Dekha Toh Aisa Laga,Shelly Chopra Dhar,Anil KapoorSonam KapoorJuhi ChawlaRajkummar Rao,2019
The Fakir of Venice,Anand Surapur,Farhan AkhtarAnnu Kapoor,2019
Dosti Ke Side Effects,Hadi Ali Abrar,Sapna ChoudhryVikrant AnandNeel MotwaniZuber K. KhanAnju Jadhav,2019
Amavas,Bhushan Patel,Sachiin JoshiVivan BhatenaNargis Fakhri,2019
Hum Chaar,Abhishek Dixit,Prit KamaniSimran SharmaAnshuman MalhotraTushar Pandey,2019
Total Dhamaal,Indra Kumar,Ajay DevgnMadhuri DixitArshad WarsiJaved JaffreyAnil KapoorRiteish DeshmukhSanjay MishraEsha Gupta,2019
Goopi Gawaiya Bagha Bajaiya,Shilpa Ranade,Manish BhawanRajeev RajShailendra Pande,2019
Luka Chuppi,Laxman Utekar,Kartik AaryanKriti SanonAparshakti KhuranaPankaj TripathiVinay Pathak,2019
Sonchiriya,Abhishek Chaubey,Sushant Singh RajputBhumi PednekarManoj BajpayeeRanvir ShoreyAshutosh Rana,2019
Badla,Sujoy Ghosh,Amitabh BachchanTaapsee Pannu,2019
The Sholay Girl,Aditya Sarpotdar,Bidita BagChandan Roy Sanyal,2019
Hamid,Aijaz Khan,Talha Arshad ReshiRasika DugalVikas KumarSumit Kaul,2019
Photograph,Ritesh Batra,Nawazuddin SiddiquiSanya Malhotra,2019
Milan Talkies,Tigmanshu Dhulia,Ali FazalShraddha SrinathReecha SinhaAshutosh RanaSanjay MishraSikandar Kher,2019
Risknamaa,Aarun Nagar,Sachin KhariAarun NagarShahbaz KhanPramod MouthoRavi Verma,2019
Mere Pyare Prime Minister,Rakeysh Omprakash Mehra,Anjali PatilMakarand DeshpandeRasika AagasheSonia AlbizuriSyna AnandAdarsh BhartiOm Kanojiya,2019
22 Yards,Mitali Ghoshal,Barun SobtiAmartya RayPanchi BoraRajit KapurRajesh SharmaChaiti GhoshalGeetika Tyagi,2019
377 Ab Normal,Faruk Kabir,Shashank AroraMohammed Zeeshan AyyubTanvi AzmiMaanvi Gagroo,2019
Kesari,Anurag Singh,Akshay KumarParineeti ChopraMir SarwarAshwath Bhatt,2019
Mard Ko Dard Nahi Hota,Vasan Bala,Abhimanyu DassaniRadhika MadanGulshan DevaiahMahesh ManjrekarJimit TrivediShweta Basu Prasad,2019
Ram Ki Janmabhoomi,Sanoj Mishra,Govind NamdeoManoj JoshiNajneen PatniRajveer Singh,2019
Notebook,Nitin Kakkar,Zaheer IqbalPranutan Bahl,2019
Junglee,Chuck Russell,Vidyut JammwalPooja SawantAsha BhatAtul Kulkarni,2019
Gone Kesh,Qasim Khallow,Shweta TripathiJitendra KumarVipin SharmaDeepika AminBrijendra Kala,2019
Romeo Akbar Walter,Robbie Garewal,John AbrahamMouni RoyJackie ShroffSikander KherSuchitra Krishnamoorthi,2019
Jai Chhathi Maa,Murari Sinha,"Ravi Kishan, Gurleen Chopra, Preeti Jhangiani",2019
Albert Pinto Ko Gussa Kyun Aata Hai?,Soumitra Ranade,Manav KaulNandita DasSaurabh ShuklaKishor Kadam,2019
The Tashkent Files,Vivek Agnihotri,Mithun ChakrabortyNaseeruddin ShahShweta Basu PrasadPankaj TripathiVinay PathakMandira BediPallavi JoshiAnkur RatheePrakash Belawadi,2019
Blackboard vs Whiteboard,Tarun S. Bisht,"Raghubir Yadav, Ashok Samarth, Akhilendra Mishra",2019
Kalank,Abhishek Varman,Madhuri DixitSonakshi SinhaAlia BhattVarun DhawanAditya Roy KapurSanjay Dutt,2019
Music Teacher,Sarthak Dasgupta,Manav KaulDivya DuttaNeena Gupta,2019
Blank,Behzad Khambata,Sunny DeolKaran KapadiaIshita Dutta,2019
Setters,Ashwini Chaudhary,Aftab ShivdasaniShreyas TalpadeSonnalli SeygallIshita DuttaPavan MalhotraVijay RaazJameel KhanManu Rishi,2019
Yours Truly,Sanjoy Nag,Soni RazdanAahana KumraPankaj Tripathi,2019
Badnaam Gali,Ashwin Shetty,Patralekha PaulDivyendu Sharma,2019
Chhota Bheem Kung Fu Dhamaka[a],Rajiv Chilaka,Parigna Pandya ShahJulie TejwaniPinky RajputRajesh Kava,2019
Student of the Year 2,Punit Malhotra,Tiger ShroffTara SutariaAnanya Panday,2019
Chhoriyan Chhoron Se Kam Nahi Hoti,Rajesh Amarlal Babbar,Satish KaushikRashmi Somvanshi,2019
Gunwali Dulhaniya,Shantanu Anant Tambe,Kanchan AwasthiMayur KumarElvis ChaturvediGovind NamdevBrijendra Kala,2019
De De Pyaar De,Akiv Ali,Ajay DevgnTabuRakul Preet SinghJimmy Sheirgill,2019
India's Most Wanted,Rajkumar Gupta,Arjun KapoorSudev NairRajesh SharmaPrashanth AlexanderShantilal Mukherjee,2019
PM Narendra Modi,Omung Kumar,Vivek OberoiBoman IraniManoj JoshiBarkha SenguptaAanjjan SrivastavZarina WahabSuresh Oberoi,2019
Yeh Hai India,Lomharsh,Gavie ChahalMohan AghasheMohan Joshi,2019
Chopsticks,Sachin Yardi,Abhay DeolMithila PalkarVijay Raaz,2019
Khamoshi,Chakri Toleti,Prabhu DevaTamannaahBhumika Chawla,2019
Kissebaaz,Annant Jaaitpaal,Pankaj TripathiAnupriya GoenkaEvelyn SharmaRahul BaggaMouli GangulyZakir HussainRajesh Sharma,2019
Jaoon Kahan Bata Ae Dil,Aadish Keluskar,Khushboo UpadhyayRohit Kokate,2019
Article 15,Anubhav Sinha,Ayushmann KhurranaIsha TalwarNassarManoj PahwaSayani GuptaKumud MishraMohammed Zeeshan Ayyub,2019
Malaal,Mangesh Hadawale,Meezaan JafferySharmin Segal,2019
One Day: Justice Delivered,Ashok Nanda,Anupam KherEsha GuptaKumud Mishra,2019
Hume Tumse Pyaar Kitna,Lalit Mohan,Karanvir BohraPriya BanerjeeSamir KochharMahesh Balraj,2019
Marudhar Express,Vishal Mishra,Kunaal Roy KapurTara Alisha BerryRajesh Sharma,2019
Super 30,Vikas Bahl,Hrithik RoshanMrunal ThakurAmit SadhPankaj Tripathi,2019
Family of Thakurganj,Manoj K. Jha,Jimmy SheirgillMahie GillSaurabh ShuklaSudhir PandeySupriya PilgaonkarPavan MalhotraMukesh TiwariNandish SinghYashpal SharmaPranati Rai PrakashRaj ZutshiSalil AcharyaManoj Pahwa,2019
Jhootha Kahin Ka,Smeep Kang,Rishi KapoorOmkar KapoorSunny SinghJimmy SheirgillLillete DubeyManoj Joshi,2019
Judgementall Hai Kya,Prakash Kovelamudi,Kangana RanautRajkummar RaoJimmy SheirgillAmyra DasturAmrita Puri,2019
Arjun Patiala,Rohit Jugraj,Diljit DosanjhKriti SanonVarun SharmaRonit Roy,2019
Khandaani Shafakhana,Shilpi Dasgupta,Sonakshi SinhaVarun SharmaAnnu KapoorBadshah,2019
Barot House,Bugs Bhargava,Amit SadhManjari Fadnis,2019
Jabariya Jodi,Prashant Singh,Sidharth MalhotraParineeti Chopra,2019
Chicken Curry Law,Shekhar Sirrinn,Ashutosh RanaNivedita BhattacharyaMakrand DeshpandeZakir HussainAman VermaNatalia Janoszek,2019
Pranaam,Sanjiv Jaiswal,Rajeev KhandelwalSamekshaShaji ChaudharyAtul KulkarniAbhimanyu SinghVikram Gokhale,2019
Batla House,Nikhil Advani,John AbrahamMrunal Thakur,2019
Posham Pa,Suman Mukhopadhyay,Mahie GillSayani GuptaRagini Khanna,2019
Saaho[b],Sujeeth,PrabhasNeil Nitin MukeshShraddha KapoorJackie Shroff,2019
Chhichhore,Nitesh Tiwari,Sushant Singh RajputShraddha KapoorVarun SharmaPrateik BabbarTahir Raj BhasinNaveen PolishettyTushar PandeySaharsh Shukla,2019
Dream Girl,Raaj Shaandilyaa,Ayushmann KhurranaNushrat Bharucha,2019
Section 375,Ajay Bahl,Akshaye KhannaRicha ChadhaRahul BhatMeera Chopra,2019
Main Zaroor Aaunga,Chandrakant Singh,"Arbaaz Khan, Aindrita Ray, Vikas Verma, Govind Namdev",2019
The Zoya Factor,Abhishek Sharma,Sonam KapoorDulquer SalmaanSanjay Kapoor,2019
Pal Pal Dil Ke Paas,Sunny Deol,Karan DeolSahher Bambba,2019
Prassthanam,Deva Katta,Sanjay DuttManisha KoiralaJackie ShroffChunky PandeyAli FazalAmyra DasturSatyajeet Dubey,2019
The Sky Is Pink,Shonali Bose,Priyanka ChopraFarhan AkhtarZaira WasimRohit Suresh Saraf,2019
Chappad Phaad Ke,Sameer Hemant Joshi,Vinay PathakSiddharth MenonAyesha Raza MishraSheetal Thakur,2019
Ghost,Vikram Bhatt,Sanaya IraniShivam Bhaargava,2019
Laal Kaptaan,Navdeep Singh,Saif Ali KhanManav VijZoya HussainDeepak DobriyalSimone Singh,2019
P Se Pyaar F Se Faraar,Manoj Tiwari,Jimmy SheirgillKumud MishraBhavesh Kumar,2019
Upstarts,Udai Singh Pawar,Priyanshu PainyuliChandrachoor RaiShadab KamalSheetal Thakur,2019
Yaaram,Ovais Khan,Prateik BabbarSiddhanth KapoorIshita Raj Sharma,2019
Officer Arjun Singh IPS Batch 2000,Arshad Siddiqui,Priyanshu ChatterjeeRaai Laxmi,2019
Jacqueline I Am Coming,Banty Dubey,"Raghubir Yadav, Diiva Dhanoya, Shakti Kumar",2019
Kanpuriye,Ashish Aryan,Aparshakti KhuranaDivyennduHarsh MayarVijay RaazRajshri DeshpandeHarshita Gaur,2019
Made in China,Mikhil Musale,Rajkummar RaoMouni RoyBoman IraniGajraj RaoSumeet VyasAmyra DasturParesh Rawal,2019
Saand Ki Aankh,Tushar Hiranandani,Bhumi PednekarTaapsee PannuPrakash JhaVineet Kumar Singh,2019
Drive,Tarun Mansukhani,Sushant Singh RajputJacqueline FernandezVikramjeet VirkSapna PabbiBoman IraniPankaj Tripathi,2019
Ujda Chaman,Abhishek Pathak,Sunny SinghMaanvi GagrooKarishma SharmaAishwarya Sakhuja,2019
Bala,Amar Kaushik,Ayushmann KhurranaBhumi PednekarYami GautamSaurabh ShuklaJaved JaffreySeema Pahwa,2019
Bypass Road,Naman Nitin Mukesh,Neil Nitin MukeshAdah SharmaShama SikanderGul PanagRajit KapurSudhanshu Pandey,2019
Moothon[c],Geetu Mohandas,Nivin PaulySanjana DipuShashank AroraSobhita DhulipalaDileesh PothanJim SarbhRoshan Mathew,2019
Satellite Shankar,Irfan Kamal,Sooraj PancholiMegha Akash,2019
Jhalki,Brahmanand S. Siingh,Boman IraniTannishtha ChatterjeeDivya DuttaSanjay SuriYatin KaryekarAkhilendra MishraGovind NamdevJoy Sengupta,2019
House Arrest,Shashanka Ghosh and Samit Basu,Ali FazalShriya PilgaonkarJim Sarbh,2019
Keep Safe Distance,Raama Mehra,Kiran KumarShahbaz Khan,2019
Marjaavaan,Milap Milan Zaveri,Sidharth MalhotraRiteish DeshmukhTara SutariaRakul Preet Singh,2019
Motichoor Chaknachoor,Debamitra Biswal,Nawazuddin SiddiquiAthiya Shetty,2019
Marne Bhi Do Yaaron,Kashmera Shah,Krishna AbhishekKashmera ShahRishaab Chauhaan,2019
Pagalpanti,Anees Bazmee,Anil KapoorJohn AbrahamIleana D'CruzArshad WarsiPulkit SamratKriti KharbandaUrvashi RautelaSaurabh Shukla,2019
Commando 3,Aditya Datt,Vidyut JammwalAdah SharmaAngira DharGulshan Devaiah,2019
Yeh Saali Aashiqui,Cherag Ruparel,Vardhan PuriShivaleeka Oberoi,2019
Panipat,Ashutosh Gowariker,Sanjay DuttArjun KapoorKriti SanonMohnish Bahl,2019
Pati Patni Aur Woh,Mudassar Aziz,Kartik AaryanBhumi PednekarAnanya Panday,2019
Mardaani 2,Gopi Puthran,Rani MukerjiVishal JethwaJisshu Sengupta,2019
The Body,Jeethu Joseph,Emraan HashmiRishi KapoorVedhikaSobhita Dhulipala,2019
Line of Descent[d],Rohit Karn Batra,Brendan FraserAbhay DeolRonit RoyNeeraj KabiPrem ChopraAli Haji,2019
Happi,Bhavna Talwar,Pankaj KapoorSupriya PathakHrishitaa Bhatt,2019
Tanhaji,,,2020
Baaghi 3,,,2020
Street Dancer 3D,,,2020
Shubh Mangal Zyada Saavdhan,,,2020
Malang,,,2020
Chhapaak,,,2020
Love Aaj Kal,,,2020
Jawaani Jaaneman,,,2020
Thappad,,,2020
Panga,,,2020
Ghost Stories,Karan JoharDibakar BanerjeeZoya AkhtarAnurag Kashyap,Sobhita DhulipalaMrunal ThakurAvinash TiwaryJanhvi KapoorSurekha SikriRaghuvir YadavGulshan DevaiahVijay VarmaPavail GulatiJyoti SubhashEva Ameet PardeshiKitu GidwaniSumit Tandon,2020
Beautiful,Agastya Manju,Naina GangulyK K BinojeeParth Suri,2020
Bhangra Paa Le,Sneha Taurani,Sunny KaushalRukshar DhillonShriya Pilgaonkar,2020
Sab Kushal Mangal,Karan Vishwanath Kashyap,Akshaye KhannaRiva KishanPriyank Sharma,2020
Shimla Mirchi,Ramesh Sippy,Hema MaliniRajkummar RaoRakul Preet Singh,2020
Half Widow,Danish Renzu,Neelofar HamidShahnawaz BhatMir SarwarHaseena Sofi,2020
Bunker,Jugal Raja,Abhijeet SinghArindita Kalita,2020
Jai Mummy Di,Navjot Gulati,Sunny SinghSonnalli SeygallPoonam DhillonSupriya Pathak,2020
Gul Makai,H.E. Amjad khan,Reem ShaikhAtul KulkarniDivya DuttaOm PuriArif ZakariaMukesh RishiAbhimanyu SinghPankaj Tripathi,2020
Happy Hardy and Heer,Raka,Himesh ReshammiyaSonia Mann,2020
Pagleaazam,"Vikas P Kavvthekaar, Aps Raghuvanshi",Aditya Pratap SinghMandeep Kaur MannnatSonia SharmaLiliputFaruqueRavi MannAbhinaye SharmaSahil PatelAmber Upadhyay,2020
Operation Parindey,Sanjay Gadhvi,Amit SadhRahul DevAakash DahiyaRucha Inamdar,2020
Hacked,Vikram Bhatt,Hina KhanRohan ShahMohit MalhotraSid Makkar,2020
Kaanchli Life in a Slough,Dedipya Joshii,Sanjay MishraShikha Malhotra,2020
Yahan Sabhi Gyani Hain,Anant Tripathi,Neeraj SoodApoorva AroraAtul Srivastav,2020
Shikara,Vidhu Vinod Chopra,Aadil KhanSadia Khateeb,2020
Khawab Sare Jhoothey,Deepak Baldev Thakur,Harsh KumarTullika Singh,2020
Shukranu,Bishnu Dev Halder,DivyennduShweta Basu PrasadSheetal Thakur,2020
Bhoot – Part One: The Haunted Ship,Bhanu Pratap Singh,Vicky KaushalBhumi Pednekar,2020
The Hundred Bucks,Dushyant Pratap Singh,Kavita TripathiDinesh BawraJaid Shaikh,2020
Yeh Ballet,Sooni Taraporevala,Julian SandsAchintya BoseManish Chauhan,2020
Doordarshan,Gagan Puri,Mahie GillManu Rishi ChaddhaDolly AhluwaliaSupriya ShuklaRajesh SharmaMehak ManwaniSumit Gulati,2020
Guns of Banaras,Sekhar Suri,Karan NathNathalia KaurAbhimanyu SinghGanesh VenkatramanShilpa ShirodkarZarina WahabMohan AgasheTej Sapru,2020
Haunted Hills,Sanjeev Kumar Rajput,Zuber K. KhanDiana Khan,2020
O Pushpa I Hate Tears,Dinkar Kapoor,Krushna AbhishekKarthik JayaramArjumman Mughal,2020
Dheet Patangey,Ravi Adhikari,Shivin NarangChandan Roy SanyalAli MuradHardik SanghaniTillotama ShomePriya Banerjee,2020
Guilty,Ruchi Narain,Kiara AdvaniAkansha Ranjan KapoorGurfateh Singh PirzadaTaher ShabbirDalip TahilKunal VijaykarManu RishiJanya JoshiChayan Chopra,2020
Kaamyaab,Hardik Mehta,Sanjay MishraDeepak Dobriyal,2020
Angrezi Medium,Homi Adajania,Irrfan KhanKareena KapoorRadhika MadanDeepak DobriyalPankaj Tripathi,2020
Maska,Neeraj Udhwani,Manisha KoiralaNikita DuttaJaved JaffreyPrit KamaniShirley Setia,2020
Bamfaad,Ranjan Chandel,Aditya RawalShalini PandeyVijay Varma,2020
Ateet,Tanuj Bhramar,PriyamaniSanjay SuriRajeev Khandelwal,2020
Mrs. Serial Killer,Shirish Kunder,Jacqueline FernandezManoj BajpayeeMohit RainaZayn Marie,2020
Court Martial,Sourabh Srivastava,Rajeev KhandelwalSaksham DaymaSwapnil Kotiwar,2020
What Are the Odds,Megha Ramaswamy,Yashaswini DayamaKaranvir MalhotraAbhay Deol,2020
Ghoomketu,Pushpendra Nath Misra,Nawazuddin SiddiquiRagini KhannaRicha ChadhaAnurag KashyapDeepika AminRaghuvir YadavIla ArunSwanand Kirkire,2020
Chippa,Safdar Rehman,Sunny PawarJoyraj BhattacharyaSumeet ThakurGautam SarkarMasood AkhtarKalpan Mitra,2020
Chintu Ka Birthday,Devanshu KumarSatyanshu Singh,Vinay PathakTillotama ShomeNate Scholz,2020
Choked,Anurag Kashyap,Saiyami KherRoshan MathewAmruta SubhashRajshri Deshpande,2020
Axone,Nicholas Kharkongor,Dolly AhluwaliaSayani GuptaTenzin DalhaVinay PathakLin LaishramAsenla JamirLanuakum Ao,2020
Gulabo Sitabo,Shoojit Sircar,Farrukh JaffarAmitabh BachchanAyushmann KhurranaVijay RaazBrijendra KalaNalneesh Neel,2020
Kadakh,Rajat Kapoor,Kalki KoechlinRanvir ShoreyShruti SethManoj PahwaTara SharmaCyrus SahukarMansi Multani,2020
Chaman Bahaar,Apurva Dhar Badgaiyann,Jitendra KumarRitika Badiani,2020
Bulbbul,Anvita Dutt,Tripti DimriAvinash TiwaryRahul BoseParambrata ChatterjeePaoli Dam,2020
Bhonsle,Devashish Makhija,Manoj BajpayeeSantosh JuvekarIpshita Chakraborty SinghAbhishek Banerjee,2020
Unlock,Debatma Mandal,Kushal TandonHina KhanRishabh SinhaAditi Arya,2020
Virgin Bhanupriya,Ajay Lohan,Urvashi RautelaGautam Gulati,2020
Dil Bechara,Mukesh Chhabra,Sushant Singh RajputSanjana SanghiSaif Ali KhanSahil VaidSaswata Chatterjee,2020
Yaara,Tigmanshu Dhulia,Vidyut JammwalShruti HaasanAmit SadhVijay VarmaKenny Basumatary,2020
Shakuntala Devi,Anu Menon,Vidya BalanJisshu SenguptaSanya MalhotraAmit Sadh,2020
Lootcase,Rajesh Krishnan,Kunal KhemuRasika DugalVijay RaazRanvir ShoreyGajraj RaoAryan PrajapatiShashi RanjanSumit Nijhawan,2020
Raat Akeli Hai,Honey Trehan,Nawazuddin SiddiquiRadhika ApteShweta TripathiIla ArunShivani RaghuvanshiAditya SrivastavaTigmanshu DhuliaSwanand Kirkire,2020
Pareeksha,Prakash Jha,Adil HussainPriyanka BoseSanjay Suri,2020
